createddate,approval_type,rate
2021-03-11,Disapproval,0.38131167
2021-03-11,Approval,0.53553495
2021-03-11,Disapproval,0.38131167
2021-03-11,Approval,0.52443579
2021-03-11,Disapproval,0.41348099
2021-03-11,Approval,0.53553495
2021-03-11,Disapproval,0.38131167
2021-03-11,Approval,0.49867191
2021-03-11,Disapproval,0.40948830999999997
2021-03-11,Approval,0.53553495
2021-03-11,Disapproval,0.38131167
2021-03-11,Approval,0.61266469
2021-03-11,Disapproval,0.39489514
2021-03-11,Approval,0.52492812
2021-03-11,Disapproval,0.39023597000000004
2021-03-11,Approval,0.48944268999999996
2021-03-11,Disapproval,0.42705105000000004
2021-03-11,Approval,0.52799336
2021-03-11,Disapproval,0.41421348
2021-03-12,Approval,0.5194562
2021-03-12,Disapproval,0.37825654
2021-03-12,Approval,0.5318359699999999
2021-03-12,Disapproval,0.42429697
2021-03-12,Approval,0.53552327
2021-03-12,Disapproval,0.40745197
2021-03-12,Approval,0.51867191
2021-03-12,Disapproval,0.36948831
2021-03-12,Approval,0.53370073
2021-03-12,Disapproval,0.43010219
2021-03-12,Approval,0.53799336
2021-03-12,Disapproval,0.41421348
2021-03-14,Approval,0.6348559300000001
2021-03-14,Disapproval,0.3858767
2021-03-14,Approval,0.63266469
2021-03-14,Disapproval,0.37489514
2021-03-15,Approval,0.48801842
2021-03-15,Disapproval,0.41938505
2021-03-15,Approval,0.54552327
2021-03-15,Disapproval,0.39745197
2021-03-15,Approval,0.48818963
2021-03-15,Disapproval,0.42221669
2021-03-15,Approval,0.54799336
2021-03-15,Disapproval,0.40421348
2021-03-16,Approval,0.55072331
2021-03-16,Disapproval,0.38505290000000003
2021-03-16,Approval,0.53552327
2021-03-16,Disapproval,0.40745197
2021-03-16,Approval,0.55241303
2021-03-16,Disapproval,0.3892392
2021-03-16,Approval,0.53799336
2021-03-16,Disapproval,0.41421348
2021-03-17,Approval,0.60659613
2021-03-17,Disapproval,0.37463042
2021-03-17,Approval,0.5311306
2021-03-17,Disapproval,0.41638972
2021-03-17,Approval,0.54552327
2021-03-17,Disapproval,0.39745197
2021-03-17,Approval,0.54485593
2021-03-17,Disapproval,0.3758767
2021-03-17,Approval,0.5426646900000001
2021-03-17,Disapproval,0.36489514
2021-03-17,Approval,0.5306697499999999
2021-03-17,Disapproval,0.42102196
2021-03-17,Approval,0.59606598
2021-03-17,Disapproval,0.35669508
2021-03-17,Approval,0.5641320400000001
2021-03-17,Disapproval,0.40128003999999995
2021-03-17,Approval,0.54799336
2021-03-17,Disapproval,0.40421348
2021-03-18,Approval,0.53659613
2021-03-18,Disapproval,0.39463042000000004
2021-03-18,Approval,0.53659613
2021-03-18,Disapproval,0.39463042000000004
2021-03-18,Approval,0.5281500100000001
2021-03-18,Disapproval,0.41749653000000003
2021-03-18,Approval,0.53659613
2021-03-18,Disapproval,0.39463042000000004
2021-03-18,Approval,0.54659613
2021-03-18,Disapproval,0.38463042000000003
2021-03-18,Approval,0.54659613
2021-03-18,Disapproval,0.38463042000000003
2021-03-18,Approval,0.53659613
2021-03-18,Disapproval,0.39463042000000004
2021-03-18,Approval,0.54659613
2021-03-18,Disapproval,0.38463042000000003
2021-03-18,Approval,0.53552327
2021-03-18,Disapproval,0.40745197
2021-03-18,Approval,0.57737007
2021-03-18,Disapproval,0.36029437000000003
2021-03-18,Approval,0.53553495
2021-03-18,Disapproval,0.38131167
2021-03-18,Approval,0.5270059899999999
2021-03-18,Disapproval,0.41048882
2021-03-18,Approval,0.53553495
2021-03-18,Disapproval,0.38131167
2021-03-18,Approval,0.53553495
2021-03-18,Disapproval,0.38131167
2021-03-18,Approval,0.54553495
2021-03-18,Disapproval,0.37131167
2021-03-18,Approval,0.54553495
2021-03-18,Disapproval,0.37131167
2021-03-18,Approval,0.53553495
2021-03-18,Disapproval,0.38131167
2021-03-18,Approval,0.54553495
2021-03-18,Disapproval,0.37131167
2021-03-18,Approval,0.57492812
2021-03-18,Disapproval,0.35023597
2021-03-18,Approval,0.53799336
2021-03-18,Disapproval,0.41421348
2021-03-19,Approval,0.55518611
2021-03-19,Disapproval,0.39188048000000003
2021-03-19,Approval,0.54183597
2021-03-19,Disapproval,0.41429697
2021-03-19,Approval,0.54552327
2021-03-19,Disapproval,0.41745196999999995
2021-03-19,Approval,0.55628524
2021-03-19,Disapproval,0.39668766
2021-03-19,Approval,0.54370073
2021-03-19,Disapproval,0.42010219
2021-03-19,Approval,0.54799336
2021-03-19,Disapproval,0.42421348000000003
2021-03-02,Approval,0.55659613
2021-03-02,Disapproval,0.36463042
2021-03-02,Approval,0.56183597
2021-03-02,Disapproval,0.39429696999999997
2021-03-02,Approval,0.49362465
2021-03-02,Disapproval,0.39140672000000004
2021-03-02,Approval,0.52552327
2021-03-02,Disapproval,0.41745196999999995
2021-03-02,Approval,0.55553495
2021-03-02,Disapproval,0.35131166999999996
2021-03-02,Approval,0.49157561
2021-03-02,Disapproval,0.38511383000000005
2021-03-02,Approval,0.56370073
2021-03-02,Disapproval,0.40010218999999997
2021-03-02,Approval,0.52799336
2021-03-02,Disapproval,0.42421348000000003
2021-03-22,Approval,0.52288266
2021-03-22,Disapproval,0.39649168
2021-03-22,Approval,0.5818270299999999
2021-03-22,Disapproval,0.35887242999999996
2021-03-22,Approval,0.51552327
2021-03-22,Disapproval,0.42745196999999996
2021-03-22,Approval,0.58072331
2021-03-22,Disapproval,0.3550529
2021-03-22,Approval,0.57997248
2021-03-22,Disapproval,0.35221849
2021-03-22,Approval,0.5228531799999999
2021-03-22,Disapproval,0.39933163
2021-03-22,Approval,0.58241303
2021-03-22,Disapproval,0.35923920000000004
2021-03-22,Approval,0.51799336
2021-03-22,Disapproval,0.43421348000000004
2021-03-22,Approval,0.5829753
2021-03-22,Disapproval,0.36200617
2021-03-23,Approval,0.50552327
2021-03-23,Disapproval,0.43745196999999997
2021-03-23,Approval,0.50799336
2021-03-23,Disapproval,0.44421348
2021-03-24,Approval,0.58659613
2021-03-24,Disapproval,0.36463042
2021-03-24,Approval,0.5088824000000001
2021-03-24,Disapproval,0.43158536
2021-03-24,Approval,0.55659613
2021-03-24,Disapproval,0.43463042
2021-03-24,Approval,0.51485593
2021-03-24,Disapproval,0.41587670000000004
2021-03-24,Approval,0.50552327
2021-03-24,Disapproval,0.43745196999999997
2021-03-24,Approval,0.58553495
2021-03-24,Disapproval,0.35131166999999996
2021-03-24,Approval,0.51266469
2021-03-24,Disapproval,0.40489514
2021-03-24,Approval,0.51134218
2021-03-24,Disapproval,0.43565131
2021-03-24,Approval,0.54606598
2021-03-24,Disapproval,0.41669508
2021-03-24,Approval,0.50799336
2021-03-24,Disapproval,0.44421348
2021-03-24,Approval,0.52413204
2021-03-24,Disapproval,0.42128003999999997
2021-03-25,Approval,0.5339091100000001
2021-03-25,Disapproval,0.36941813
2021-03-25,Approval,0.49552326999999996
2021-03-25,Disapproval,0.44745197
2021-03-25,Approval,0.51737007
2021-03-25,Disapproval,0.42029437000000003
2021-03-25,Approval,0.51492812
2021-03-25,Disapproval,0.41023597
2021-03-25,Approval,0.53330374
2021-03-25,Disapproval,0.37438766
2021-03-25,Approval,0.49799335999999994
2021-03-25,Disapproval,0.45421348
2021-03-26,Approval,0.54659613
2021-03-26,Disapproval,0.38463042000000003
2021-03-26,Approval,0.54659613
2021-03-26,Disapproval,0.38463042000000003
2021-03-26,Approval,0.54659613
2021-03-26,Disapproval,0.38463042000000003
2021-03-26,Approval,0.54659613
2021-03-26,Disapproval,0.38463042000000003
2021-03-26,Approval,0.53659613
2021-03-26,Disapproval,0.39463042000000004
2021-03-26,Approval,0.54659613
2021-03-26,Disapproval,0.39463042000000004
2021-03-26,Approval,0.53659613
2021-03-26,Disapproval,0.39463042000000004
2021-03-26,Approval,0.55183597
2021-03-26,Disapproval,0.40429697
2021-03-26,Approval,0.50552327
2021-03-26,Disapproval,0.44745197
2021-03-26,Approval,0.54553495
2021-03-26,Disapproval,0.37131167
2021-03-26,Approval,0.54553495
2021-03-26,Disapproval,0.37131167
2021-03-26,Approval,0.54553495
2021-03-26,Disapproval,0.37131167
2021-03-26,Approval,0.54553495
2021-03-26,Disapproval,0.37131167
2021-03-26,Approval,0.53553495
2021-03-26,Disapproval,0.38131167
2021-03-26,Approval,0.54553495
2021-03-26,Disapproval,0.38131167
2021-03-26,Approval,0.53553495
2021-03-26,Disapproval,0.38131167
2021-03-26,Approval,0.55370073
2021-03-26,Disapproval,0.41010219
2021-03-26,Approval,0.50799336
2021-03-26,Disapproval,0.45421348
2021-03-29,Approval,0.54485593
2021-03-29,Disapproval,0.36587670000000005
2021-03-29,Approval,0.56183597
2021-03-29,Disapproval,0.39429696999999997
2021-03-29,Approval,0.51552327
2021-03-29,Disapproval,0.43745196999999997
2021-03-29,Approval,0.5426646900000001
2021-03-29,Disapproval,0.35489514
2021-03-29,Approval,0.56370073
2021-03-29,Disapproval,0.40010218999999997
2021-03-29,Approval,0.51799336
2021-03-29,Disapproval,0.44421348
2021-03-03,Approval,0.5363173299999999
2021-03-03,Disapproval,0.39458224999999997
2021-03-03,Approval,0.51458244
2021-03-03,Disapproval,0.42012877000000004
2021-03-03,Approval,0.55659613
2021-03-03,Disapproval,0.40463042
2021-03-03,Approval,0.52552327
2021-03-03,Disapproval,0.40745197
2021-03-03,Approval,0.51485593
2021-03-03,Disapproval,0.3958767
2021-03-03,Approval,0.51183987
2021-03-03,Disapproval,0.4131686
2021-03-03,Approval,0.51266469
2021-03-03,Disapproval,0.38489514
2021-03-03,Approval,0.5378328299999999
2021-03-03,Disapproval,0.39862994999999996
2021-03-03,Approval,0.50744331
2021-03-03,Disapproval,0.42956080999999996
2021-03-03,Approval,0.54606598
2021-03-03,Disapproval,0.38669508
2021-03-03,Approval,0.53413204
2021-03-03,Disapproval,0.41128003999999996
2021-03-03,Approval,0.52799336
2021-03-03,Disapproval,0.41421348
2021-03-30,Approval,0.5646405099999999
2021-03-30,Disapproval,0.41062224999999997
2021-03-30,Approval,0.53288266
2021-03-30,Disapproval,0.40649168
2021-03-30,Approval,0.5294561999999999
2021-03-30,Disapproval,0.39825654
2021-03-30,Approval,0.55659613
2021-03-30,Disapproval,0.39963042000000004
2021-03-30,Approval,0.50552327
2021-03-30,Disapproval,0.43745196999999997
2021-03-30,Approval,0.52867191
2021-03-30,Disapproval,0.38948831
2021-03-30,Approval,0.55553495
2021-03-30,Disapproval,0.38631167
2021-03-30,Approval,0.56622373
2021-03-30,Disapproval,0.41384507
2021-03-30,Approval,0.5328531799999999
2021-03-30,Disapproval,0.40933163
2021-03-30,Approval,0.52944269
2021-03-30,Disapproval,0.40705105
2021-03-30,Approval,0.50799336
2021-03-30,Disapproval,0.44421348
2021-03-31,Approval,0.53659613
2021-03-31,Disapproval,0.41463042
2021-03-31,Approval,0.56659613
2021-03-31,Disapproval,0.42463042
2021-03-31,Approval,0.57397167
2021-03-31,Disapproval,0.38374722
2021-03-31,Approval,0.49485593
2021-03-31,Disapproval,0.40587670000000003
2021-03-31,Approval,0.51552327
2021-03-31,Disapproval,0.42745196999999996
2021-03-31,Approval,0.53553495
2021-03-31,Disapproval,0.40131166999999995
2021-03-31,Approval,0.57362992
2021-03-31,Disapproval,0.37572939
2021-03-31,Approval,0.49266469
2021-03-31,Disapproval,0.39489514
2021-03-31,Approval,0.55606598
2021-03-31,Disapproval,0.40669508
2021-03-31,Approval,0.51413204
2021-03-31,Disapproval,0.42128003999999997
2021-03-31,Approval,0.51799336
2021-03-31,Disapproval,0.43421348000000004
2021-03-04,Approval,0.52659613
2021-03-04,Disapproval,0.38463042000000003
2021-03-04,Approval,0.52659613
2021-03-04,Disapproval,0.38463042000000003
2021-03-04,Approval,0.52659613
2021-03-04,Disapproval,0.38463042000000003
2021-03-04,Approval,0.52659613
2021-03-04,Disapproval,0.38463042000000003
2021-03-04,Approval,0.52518611
2021-03-04,Disapproval,0.40188048000000004
2021-03-04,Approval,0.52659613
2021-03-04,Disapproval,0.38463042000000003
2021-03-04,Approval,0.52659613
2021-03-04,Disapproval,0.38463042000000003
2021-03-04,Approval,0.52659613
2021-03-04,Disapproval,0.39463042000000004
2021-03-04,Approval,0.51552327
2021-03-04,Disapproval,0.41745196999999995
2021-03-04,Approval,0.56737007
2021-03-04,Disapproval,0.36029437000000003
2021-03-04,Approval,0.52553495
2021-03-04,Disapproval,0.37131167
2021-03-04,Approval,0.52553495
2021-03-04,Disapproval,0.37131167
2021-03-04,Approval,0.52553495
2021-03-04,Disapproval,0.37131167
2021-03-04,Approval,0.52553495
2021-03-04,Disapproval,0.37131167
2021-03-04,Approval,0.52553495
2021-03-04,Disapproval,0.37131167
2021-03-04,Approval,0.52553495
2021-03-04,Disapproval,0.37131167
2021-03-04,Approval,0.52553495
2021-03-04,Disapproval,0.38131167
2021-03-04,Approval,0.56492812
2021-03-04,Disapproval,0.35023597
2021-03-04,Approval,0.52628524
2021-03-04,Disapproval,0.40668766
2021-03-04,Approval,0.51799336
2021-03-04,Disapproval,0.42421348000000003
2021-03-05,Approval,0.5318359699999999
2021-03-05,Disapproval,0.42429697
2021-03-05,Approval,0.56397167
2021-03-05,Disapproval,0.40374721999999996
2021-03-05,Approval,0.51552327
2021-03-05,Disapproval,0.42745196999999996
2021-03-05,Approval,0.56362992
2021-03-05,Disapproval,0.39572938999999996
2021-03-05,Approval,0.53370073
2021-03-05,Disapproval,0.43010219
2021-03-05,Approval,0.51799336
2021-03-05,Disapproval,0.43421348000000004
2021-03-08,Approval,0.51552327
2021-03-08,Disapproval,0.42745196999999996
2021-03-08,Approval,0.5107233099999999
2021-03-08,Disapproval,0.40505290000000005
2021-03-08,Approval,0.51241303
2021-03-08,Disapproval,0.4092392
2021-03-08,Approval,0.51799336
2021-03-08,Disapproval,0.43421348000000004
2021-03-09,Approval,0.56659613
2021-03-09,Disapproval,0.37463042
2021-03-09,Approval,0.52552327
2021-03-09,Disapproval,0.41745196999999995
2021-03-09,Approval,0.56553495
2021-03-09,Disapproval,0.36131167
2021-03-09,Approval,0.52799336
2021-03-09,Disapproval,0.42421348000000003
2021-04-01,Approval,0.50552327
2021-04-01,Disapproval,0.43745196999999997
2021-04-01,Approval,0.52737007
2021-04-01,Disapproval,0.42029437000000003
2021-04-01,Approval,0.52492812
2021-04-01,Disapproval,0.41023597
2021-04-01,Approval,0.50799336
2021-04-01,Disapproval,0.44421348
2021-04-12,Approval,0.53485593
2021-04-12,Disapproval,0.3858767
2021-04-12,Approval,0.52552327
2021-04-12,Disapproval,0.41745196999999995
2021-04-12,Approval,0.53266469
2021-04-12,Disapproval,0.37489514
2021-04-12,Approval,0.52799336
2021-04-12,Disapproval,0.42421348000000003
2021-04-13,Approval,0.52552327
2021-04-13,Disapproval,0.41745196999999995
2021-04-13,Approval,0.52799336
2021-04-13,Disapproval,0.42421348000000003
2021-04-14,Approval,0.5023586
2021-04-14,Disapproval,0.41877749999999997
2021-04-14,Approval,0.54458244
2021-04-14,Disapproval,0.41012877000000003
2021-04-14,Approval,0.57659613
2021-04-14,Disapproval,0.40463042
2021-04-14,Approval,0.5011306
2021-04-14,Disapproval,0.44638972000000005
2021-04-14,Approval,0.5048559300000001
2021-04-14,Disapproval,0.42587670000000005
2021-04-14,Approval,0.52552327
2021-04-14,Disapproval,0.41745196999999995
2021-04-14,Approval,0.50008759
2021-04-14,Disapproval,0.41204054
2021-04-14,Approval,0.54183987
2021-04-14,Disapproval,0.4031686
2021-04-14,Approval,0.50266469
2021-04-14,Disapproval,0.41489514
2021-04-14,Approval,0.53744331
2021-04-14,Disapproval,0.42956080999999996
2021-04-14,Approval,0.51755142
2021-04-14,Disapproval,0.42115361
2021-04-14,Approval,0.50066975
2021-04-14,Disapproval,0.45102196
2021-04-14,Approval,0.56606598
2021-04-14,Disapproval,0.38669508
2021-04-14,Approval,0.52799336
2021-04-14,Disapproval,0.42421348000000003
2021-04-14,Approval,0.52413204
2021-04-14,Disapproval,0.42128003999999997
2021-04-15,Approval,0.55659613
2021-04-15,Disapproval,0.39463042000000004
2021-04-15,Approval,0.53659613
2021-04-15,Disapproval,0.39463042000000004
2021-04-15,Approval,0.53659613
2021-04-15,Disapproval,0.39463042000000004
2021-04-15,Approval,0.53659613
2021-04-15,Disapproval,0.39463042000000004
2021-04-15,Approval,0.53659613
2021-04-15,Disapproval,0.39463042000000004
2021-04-15,Approval,0.5742036699999999
2021-04-15,Disapproval,0.38954386999999996
2021-04-15,Approval,0.52659613
2021-04-15,Disapproval,0.40463042
2021-04-15,Approval,0.53659613
2021-04-15,Disapproval,0.39463042000000004
2021-04-15,Approval,0.5394561999999999
2021-04-15,Disapproval,0.38825654
2021-04-15,Approval,0.48275835
2021-04-15,Disapproval,0.41437567000000003
2021-04-15,Approval,0.53659613
2021-04-15,Disapproval,0.39463042000000004
2021-04-15,Approval,0.52552327
2021-04-15,Disapproval,0.41745196999999995
2021-04-15,Approval,0.55553495
2021-04-15,Disapproval,0.38131167
2021-04-15,Approval,0.53553495
2021-04-15,Disapproval,0.38131167
2021-04-15,Approval,0.53553495
2021-04-15,Disapproval,0.38131167
2021-04-15,Approval,0.53553495
2021-04-15,Disapproval,0.38131167
2021-04-15,Approval,0.53553495
2021-04-15,Disapproval,0.38131167
2021-04-15,Approval,0.52553495
2021-04-15,Disapproval,0.39131167
2021-04-15,Approval,0.57443579
2021-04-15,Disapproval,0.38348098999999997
2021-04-15,Approval,0.53553495
2021-04-15,Disapproval,0.38131167
2021-04-15,Approval,0.48251112999999995
2021-04-15,Disapproval,0.40921234
2021-04-15,Approval,0.53867191
2021-04-15,Disapproval,0.37948831
2021-04-15,Approval,0.53553495
2021-04-15,Disapproval,0.38131167
2021-04-15,Approval,0.52944269
2021-04-15,Disapproval,0.40705105
2021-04-15,Approval,0.52799336
2021-04-15,Disapproval,0.42421348000000003
2021-04-16,Approval,0.54518611
2021-04-16,Disapproval,0.41188048
2021-04-16,Approval,0.56131733
2021-04-16,Disapproval,0.39958224999999997
2021-04-16,Approval,0.56183597
2021-04-16,Disapproval,0.39429696999999997
2021-04-16,Approval,0.51552327
2021-04-16,Disapproval,0.42745196999999996
2021-04-16,Approval,0.52737007
2021-04-16,Disapproval,0.39029437
2021-04-16,Approval,0.52492812
2021-04-16,Disapproval,0.38023597000000003
2021-04-16,Approval,0.54628524
2021-04-16,Disapproval,0.41668765999999996
2021-04-16,Approval,0.56370073
2021-04-16,Disapproval,0.40010218999999997
2021-04-16,Approval,0.56283283
2021-04-16,Disapproval,0.40362994999999996
2021-04-16,Approval,0.51799336
2021-04-16,Disapproval,0.43421348000000004
2021-04-19,Approval,0.52552327
2021-04-19,Disapproval,0.41745196999999995
2021-04-19,Approval,0.52799336
2021-04-19,Disapproval,0.42421348000000003
2021-04-02,Approval,0.56183597
2021-04-02,Disapproval,0.39429696999999997
2021-04-02,Approval,0.50552327
2021-04-02,Disapproval,0.43745196999999997
2021-04-02,Approval,0.56370073
2021-04-02,Disapproval,0.40010218999999997
2021-04-02,Approval,0.50799336
2021-04-02,Disapproval,0.44421348
2021-04-20,Approval,0.56659613
2021-04-20,Disapproval,0.38463042000000003
2021-04-20,Approval,0.52552327
2021-04-20,Disapproval,0.42745196999999996
2021-04-20,Approval,0.56553495
2021-04-20,Disapproval,0.37131167
2021-04-20,Approval,0.52799336
2021-04-20,Disapproval,0.43421348000000004
2021-04-20,Approval,0.55606598
2021-04-20,Disapproval,0.39669508
2021-04-21,Approval,0.52552327
2021-04-21,Disapproval,0.41745196999999995
2021-04-21,Approval,0.5048559300000001
2021-04-21,Disapproval,0.3858767
2021-04-21,Approval,0.57182703
2021-04-21,Disapproval,0.36887243
2021-04-21,Approval,0.56997248
2021-04-21,Disapproval,0.36221849
2021-04-21,Approval,0.50266469
2021-04-21,Disapproval,0.37489514
2021-04-21,Approval,0.52413204
2021-04-21,Disapproval,0.41128003999999996
2021-04-21,Approval,0.5729753
2021-04-21,Disapproval,0.37200617
2021-04-21,Approval,0.52799336
2021-04-21,Disapproval,0.42421348000000003
2021-04-22,Approval,0.55659613
2021-04-22,Disapproval,0.39463042000000004
2021-04-22,Approval,0.52659613
2021-04-22,Disapproval,0.40463042
2021-04-22,Approval,0.52659613
2021-04-22,Disapproval,0.40463042
2021-04-22,Approval,0.53659613
2021-04-22,Disapproval,0.40463042
2021-04-22,Approval,0.52659613
2021-04-22,Disapproval,0.40463042
2021-04-22,Approval,0.52659613
